model,dataset,Clean error orig,Clean error repro,Mce orig,Mce repro,Mfr orig,Mfr repro,Adv error orig,Adv error repro,Rms calib orig,Rms calib repro
wrn40-4,cifar10,4,4,8.6,8.6,1.3,1.4,74.4,74.4,2.3,2.3
wrn28-10,cifar10,3.3,3.3,7.5,7.6,1.1,1.2,76.4,76.4,1.9,1.9
resnext-29,cifar10,3.8,3.8,8.6,8.9,1.4,1.3,93.2,93.2,2,2.0
resnet-18,cifar10,4.2,4.2,8.4,8.4,1.7,1.4,80,80,2.4,2.5
resnet-20,cifar10,N/A,8.0,N/A,13.6,N/A,2.4,N/A,86.0,N/A,3.6
wrn40-4,cifar100,19.4,19.4,28.6,28.6,4.3,4.6,89.4,89.4,2.8,2.9
wrn28-10,cifar100,17.4,17.4,26.6,26.6,4.2,4.2,91.3,91.3,6.4,6.5
resnext-29,cifar100,18.3,18.3,28.1,28.1,5,5.3,96.9,96.9,3.8,3.7
resnet-18,cifar100,21.6,21.6,29.9,29.9,5.4,5.4,95.6,95.6,6.3,6.2
resnet-20,cifar100,N/A,30.9,N/A,40.8,N/A,N/A,N/A,96.0,N/A,5.92
